time_s,voltage_V,current_A,soc_percent
0.0,3.684695,-1.9e-05,50.0
1.0,3.684856,-1.9e-05,50.0
2.0,3.684533,-1.9e-05,50.0
3.0,3.684695,-1.9e-05,50.0
4.0,3.684533,-1.9e-05,50.0
5.0,3.684695,-1.9e-05,50.0
6.0,3.684695,-1.9e-05,50.0
7.0,3.684533,-1.9e-05,50.0
8.0,3.684695,-1.9e-05,50.0
9.0,3.684533,-1.9e-05,50.0
10.0,3.684695,-1.9e-05,50.0
11.0,3.684695,-1.9e-05,50.0
12.0,3.684695,-1.9e-05,50.0
13.0,3.684695,-1.9e-05,50.0
14.0,3.684533,-1.9e-05,50.0
15.0,3.684856,-1.9e-05,50.0
16.0,3.649727,-0.499946,49.9994
17.0,3.648432,-0.500126,49.9923
18.0,3.647461,-0.499946,49.9854
19.0,3.646975,-0.499946,49.9784
20.0,3.646328,-0.499946,49.9714
21.0,3.645842,-0.499946,49.9644
22.0,3.645356,-0.499765,49.9574
23.0,3.644871,-0.499946,49.9504
24.0,3.644385,-0.499765,49.9434
25.0,3.644061,-0.499946,49.9365
26.0,3.643576,-0.500126,49.9294
27.0,3.643252,-0.499946,49.9224
28.0,3.642928,-0.499946,49.9153
29.0,3.642442,-0.499946,49.9083
30.0,3.642119,-0.499946,49.9013
31.0,3.641795,-0.499946,49.8944
32.0,3.641795,-0.499765,49.8873
33.0,3.641147,-0.499946,49.8804
34.0,3.640824,-0.500126,49.8733
35.0,3.6405,-0.499946,49.8663
36.0,3.640338,-0.499946,49.8592
37.0,3.640014,-0.499946,49.8523
38.0,3.639852,-0.499765,49.8452
39.0,3.639529,-0.499765,49.8383
40.0,3.639205,-0.499765,49.8313
41.0,3.638719,-0.499946,49.8244
42.0,3.638557,-0.499946,49.8174
43.0,3.638395,-0.499946,49.8103
44.0,3.602942,-1.000233,49.8012
45.0,3.601485,-1.000053,49.7871
46.0,3.600838,-1.000053,49.773
47.0,3.599866,-1.000233,49.7589
48.0,3.599381,-1.000233,49.7448
49.0,3.598733,-1.000053,49.7309
50.0,3.597924,-1.000233,49.7168
51.0,3.597438,-1.000414,49.7029
52.0,3.596952,-1.000053,49.689
53.0,3.596305,-1.000233,49.6746
54.0,3.595819,-1.000053,49.6608
55.0,3.595495,-1.000053,49.6467
56.0,3.701854,0.500268,49.6422
57.0,3.703797,0.500268,49.6492
58.0,3.705092,0.500268,49.6562
59.0,3.706225,0.500268,49.6632
60.0,3.707359,0.500088,49.6702
61.0,3.70833,0.500449,49.6772
62.0,3.708977,0.500268,49.6843
63.0,3.709787,0.500449,49.6912
64.0,3.674819,-1.9e-05,49.6945
65.0,3.674658,-1.9e-05,49.6945
66.0,3.674658,-1.9e-05,49.6945
67.0,3.674658,-1.9e-05,49.6945
68.0,3.674658,-1.9e-05,49.6945
69.0,3.674819,-1.9e-05,49.6945
70.0,3.674981,-1.9e-05,49.6945
71.0,3.674981,-1.9e-05,49.6945
72.0,3.674981,-1.9e-05,49.6945
73.0,3.675143,-1.9e-05,49.6945
74.0,3.675143,-0.0002,49.6945
75.0,3.675305,-1.9e-05,49.6945
76.0,3.675467,-1.9e-05,49.6945
77.0,3.675305,-1.9e-05,49.6945
78.0,3.675467,-1.9e-05,49.6945
79.0,3.675467,-1.9e-05,49.6945
80.0,3.63969,-0.499946,49.6896
81.0,3.639043,-0.499946,49.6826
82.0,3.638395,-0.499946,49.6756
83.0,3.63791,-0.499765,49.6687
84.0,3.637424,-0.499946,49.6616
85.0,3.636938,-0.499946,49.6547
86.0,3.636615,-0.499946,49.6476
87.0,3.636615,-0.499946,49.6421
88.0,3.635967,-0.499946,49.6336
89.0,3.635643,-0.499946,49.6267
90.0,3.635481,-0.499946,49.6196
91.0,3.634996,-0.499946,49.6126
92.0,3.634996,-0.499765,49.6056
93.0,3.63451,-0.499765,49.5986
94.0,3.634024,-0.500126,49.5916
95.0,3.634024,-0.499946,49.5846
96.0,3.633701,-0.499765,49.5775
97.0,3.633539,-0.499946,49.5705
98.0,3.633377,-0.499946,49.5634
99.0,3.633053,-0.500126,49.5566
100.0,3.633053,-0.499946,49.5494
101.0,3.632891,-0.499946,49.5424
102.0,3.632567,-0.500126,49.5354
103.0,3.632567,-0.499765,49.5284
104.0,3.632244,-0.499946,49.5213
105.0,3.632082,-0.499765,49.5143
106.0,3.63192,-0.499946,49.5072
107.0,3.631596,-0.499946,49.5003
108.0,3.631596,-0.499946,49.4933
109.0,3.631596,-0.499946,49.4863
110.0,3.63111,-0.499946,49.4793
111.0,3.631272,-0.499765,49.4723
