time_s,voltage_V,current_A,soc_percent
0.0,3.929304,-1.9e-05,80.0
1.0,3.930599,-1.9e-05,80.0
2.0,3.931732,-1.9e-05,80.0
3.0,3.93238,-0.0002,80.0
4.0,3.933513,-1.9e-05,80.0
5.0,3.93416,-0.001103,80.0
6.0,3.934322,-0.007785,80.0
7.0,3.934646,-0.010675,79.9999
8.0,3.935456,-0.010675,79.9997
9.0,3.907449,-0.409641,79.9992
10.0,3.814203,-1.704971,79.9922
11.0,3.780207,-2.118024,79.9677
12.0,3.776322,-2.120192,79.9378
13.0,3.92979,0.052357,79.9117
14.0,3.817117,-1.576558,79.9098
15.0,3.814527,-1.576558,79.8937
16.0,3.82683,-1.362536,79.8616
17.0,3.836705,-1.222383,79.843
18.0,3.831687,-1.29264,79.8256
19.0,3.844152,-1.107877,79.808
20.0,3.802062,-1.6898,79.7912
21.0,3.828611,-1.298781,79.7683
22.0,3.885109,-0.512227,79.7522
23.0,3.930437,0.091911,79.7465
24.0,3.932865,0.091188,79.7478
25.0,3.955529,0.380525,79.7499
26.0,3.940474,0.144468,79.7546
27.0,3.937236,0.086312,79.7564
28.0,3.917972,-0.192007,79.7568
29.0,3.88349,-0.671886,79.7526
30.0,3.932056,0.012262,79.7454
31.0,3.918296,-0.195258,79.7449
32.0,3.957958,0.348918,79.7441
33.0,3.978194,0.608273,79.75
34.0,3.979003,0.589309,79.7585
35.0,3.976898,0.542712,79.7666
36.0,3.967347,0.397141,79.7736
37.0,3.961843,0.309545,79.7788
38.0,3.950997,0.153499,79.7824
39.0,3.941931,0.025447,79.784
40.0,3.940312,-1.9e-05,79.7842
41.0,3.94015,-1.9e-05,79.7842
42.0,3.940474,-1.9e-05,79.7842
43.0,3.940636,-1.9e-05,79.7842
44.0,3.940798,-1.9e-05,79.7842
45.0,3.94096,-1.9e-05,79.7842
46.0,3.94096,-1.9e-05,79.7842
47.0,3.941283,-1.9e-05,79.7842
48.0,3.940474,-0.012662,79.7841
49.0,3.854513,-1.196736,79.7766
50.0,3.841886,-1.33418,79.7589
51.0,3.866168,-0.973323,79.7426
52.0,3.832173,-1.425388,79.7262
53.0,3.77616,-2.16408,79.7012
54.0,3.775674,-2.128861,79.6713
55.0,3.828125,-1.379694,79.6463
56.0,3.775512,-2.09003,79.622
57.0,3.748316,-2.42813,79.59
58.0,3.750097,-2.367446,79.5567
59.0,3.784416,-1.87366,79.5269
60.0,3.831849,-1.215158,79.5054
61.0,3.794777,-1.721767,79.4846
62.0,3.799957,-1.636701,79.461
63.0,3.788301,-1.785342,79.4368
64.0,3.80708,-1.513525,79.4138
65.0,3.816146,-1.38764,79.3935
66.0,3.838972,-1.072838,79.377
67.0,3.908421,-0.134393,79.3699
68.0,3.885271,-0.474299,79.365
69.0,3.917648,-0.047339,79.3622
70.0,3.927361,0.066626,79.3626
71.0,3.929142,0.067167,79.3636
72.0,3.910525,-0.198689,79.362
73.0,3.886728,-0.529204,79.3558
74.0,3.911011,-0.198509,79.3518
75.0,3.931247,0.067709,79.3517
76.0,3.941769,0.194858,79.3537
77.0,3.921371,-0.09809,79.3541
78.0,3.910202,-0.254498,79.351
79.0,3.910363,-0.253053,79.3475
80.0,3.89887,-0.410905,79.3422
81.0,3.89887,-0.41235,79.3365
82.0,3.875072,-0.73546,79.3272
83.0,3.849009,-1.07627,79.3127
84.0,3.808052,-1.613944,79.2915
85.0,3.775512,-2.026636,79.2644
86.0,3.759971,-2.201827,79.2337
87.0,3.765314,-2.101408,79.2043
88.0,3.765152,-2.081361,79.1754
89.0,3.742974,-2.356609,79.1428
90.0,3.726785,-2.550222,79.1078
91.0,3.749287,-2.218804,79.0763
92.0,3.742812,-2.288881,79.0442
93.0,3.785388,-1.695579,79.0192
94.0,3.847875,-0.85087,79.006
95.0,3.856779,-0.747019,78.9953
96.0,3.897574,-0.208081,78.9917
97.0,3.951806,0.502436,78.9978
98.0,3.944359,0.366798,79.003
99.0,3.943712,0.332302,79.0077
100.0,3.935941,0.206417,79.0108
101.0,3.937074,0.206417,79.0137
102.0,3.944845,0.293471,79.0178
103.0,3.949702,0.34657,79.0227
104.0,3.950025,0.335553,79.0272
105.0,3.947111,0.277216,79.0319
106.0,3.951159,0.323452,79.0358
107.0,3.949863,0.291845,79.0403
108.0,3.951806,0.309545,79.0444
109.0,3.948892,0.256085,79.0487
110.0,3.951806,0.293832,79.0523
111.0,3.961195,0.410686,79.0565
112.0,3.968966,0.506229,79.0624
113.0,3.960224,0.368424,79.0693
114.0,3.944521,0.140856,79.0742
115.0,3.944036,0.137244,79.0761
116.0,3.946464,0.168128,79.0781
117.0,3.986935,0.725849,79.0815
118.0,3.981755,0.627959,79.0915
119.0,3.967347,0.415924,79.1
120.0,3.959738,0.304127,79.1055
121.0,3.954558,0.233147,79.1095
122.0,3.947435,0.1302,79.1125
123.0,3.941122,0.04423,79.1141
124.0,3.93837,0.00865,79.1146
125.0,3.937884,0.003954,79.1147
126.0,3.937722,-1.9e-05,79.1148
127.0,3.937722,-1.9e-05,79.1148
128.0,3.93756,-1.9e-05,79.1148
129.0,3.93756,-1.9e-05,79.1148
130.0,3.937722,-1.9e-05,79.1148
131.0,3.937722,-1.9e-05,79.1148
132.0,3.937722,-1.9e-05,79.1148
133.0,3.937884,-1.9e-05,79.1148
134.0,3.929142,-0.119041,79.1142
135.0,3.869892,-0.933408,79.1089
136.0,3.809509,-1.733688,79.0916
137.0,3.761428,-2.348662,79.0644
138.0,3.71092,-2.986213,79.028
139.0,3.724357,-2.738236,78.9872
140.0,3.710111,-2.888503,78.9477
141.0,3.701693,-2.959122,78.9066
142.0,3.78134,-1.827966,78.872
143.0,3.817603,-1.33129,78.8492
144.0,3.830554,-1.154835,78.8318
145.0,3.811127,-1.42322,78.8138
146.0,3.847552,-0.919862,78.7971
147.0,3.823269,-1.259408,78.7819
148.0,3.84998,-0.887533,78.7669
149.0,3.86714,-0.658701,78.756
150.0,3.86714,-0.665926,78.7467
151.0,3.842371,-1.006194,78.7348
152.0,3.889804,-0.356723,78.7257
153.0,3.890775,-0.356542,78.7206
154.0,3.842371,-1.026964,78.7101
155.0,3.78215,-1.834829,78.6897
156.0,3.84739,-0.915166,78.6715
157.0,3.806756,-1.469456,78.6542
158.0,3.863255,-0.686154,78.64
159.0,3.802871,-1.518943,78.6235
160.0,3.860502,-0.716135,78.6089
161.0,3.860826,-0.722276,78.5988
162.0,3.860826,-0.728236,78.5885
163.0,3.920886,0.089021,78.5856
164.0,3.934646,0.259155,78.5873
165.0,3.900003,-0.242216,78.5874
166.0,3.907126,-0.151912,78.5849
167.0,3.919591,0.007928,78.5843
168.0,3.876853,-0.582123,78.5785
169.0,3.928171,0.119183,78.5775
170.0,3.865845,-0.745213,78.5702
171.0,3.915867,-0.054202,78.567
172.0,3.897898,-0.309222,78.5635
173.0,3.911011,-0.135837,78.5611
174.0,3.879929,-0.562798,78.5545
175.0,3.879281,-0.56641,78.5466
176.0,3.904536,-0.22271,78.5423
177.0,3.911497,-0.134212,78.5402
178.0,3.899517,-0.302359,78.5365
179.0,3.899841,-0.301095,78.5322
180.0,3.93497,0.172282,78.5335
181.0,3.926228,0.040979,78.5343
182.0,3.872158,-0.69681,78.526
183.0,3.959738,0.496837,78.5307
184.0,3.744107,-2.431201,78.5024
185.0,3.829744,-1.223105,78.483
186.0,3.806595,-1.519124,78.4623
187.0,3.822298,-1.290653,78.4438
188.0,3.879767,-0.505003,78.4355
189.0,3.798662,-1.602023,78.4145
190.0,3.849332,-0.897106,78.4013
191.0,3.806433,-1.474513,78.3814
192.0,3.85257,-0.83913,78.3686
193.0,3.844476,-0.944786,78.3556
194.0,3.836381,-1.05261,78.3406
195.0,3.877986,-0.487122,78.3336
196.0,3.911335,-0.013384,78.3242
197.0,3.860179,-0.770318,78.3236
198.0,3.837353,-1.068323,78.3127
199.0,3.904374,-0.112539,78.2982
200.0,3.872806,-0.586819,78.2962
201.0,3.865197,-0.686154,78.288
202.0,3.800929,-1.578725,78.2776
203.0,3.888185,-0.318433,78.2565
204.0,3.862607,-0.708008,78.2516
205.0,3.861636,-0.712342,78.2416
