time_s,voltage_V,current_A,soc_percent
0.0,3.920724,-0.111094,80.0
1.0,3.921857,-0.110913,79.9985
2.0,3.922828,-0.110913,79.9969
3.0,3.923638,-0.110913,79.9954
4.0,3.924285,-0.111094,79.9938
5.0,3.871349,-0.833892,79.9824
6.0,3.870378,-0.834253,79.9708
7.0,3.870054,-0.834073,79.9592
8.0,3.86973,-0.834253,79.9475
9.0,3.880738,-0.668093,79.9359
10.0,3.881386,-0.666829,79.9266
11.0,3.881548,-0.666467,79.9173
12.0,3.88171,-0.666467,79.908
13.0,3.881548,-0.666648,79.8987
14.0,3.881548,-0.666648,79.8894
15.0,3.856941,-0.999872,79.8755
16.0,3.856293,-1.000233,79.8616
17.0,3.855646,-1.000233,79.8477
18.0,3.854998,-1.000233,79.8337
19.0,3.854675,-0.999872,79.8198
20.0,3.854351,-1.000233,79.8059
21.0,3.854027,-1.000233,79.7919
22.0,3.853541,-1.000053,79.778
23.0,3.853379,-1.000233,79.7641
24.0,3.853056,-1.000233,79.7501
25.0,3.852894,-1.000053,79.7362
26.0,3.852408,-1.000233,79.7223
27.0,3.852246,-1.000233,79.7083
28.0,3.852084,-1.000233,79.6944
29.0,3.851599,-1.000233,79.6805
30.0,3.851437,-1.000053,79.6666
31.0,3.850951,-1.000233,79.6526
32.0,3.850789,-1.000233,79.6387
33.0,3.850627,-1.000053,79.6248
34.0,3.862283,-0.834073,79.611
35.0,3.862445,-0.834073,79.5993
36.0,3.862445,-0.834073,79.5877
37.0,3.862607,-0.834253,79.5761
38.0,3.862607,-0.834073,79.5645
39.0,3.862769,-0.834253,79.5529
40.0,3.862607,-0.834073,79.5412
41.0,3.862445,-0.834073,79.5296
42.0,3.862445,-0.834253,79.5179
43.0,3.862283,-0.834253,79.5063
44.0,3.862283,-0.834253,79.4947
45.0,3.862283,-0.834073,79.4831
46.0,3.862121,-0.834073,79.4715
47.0,3.862121,-0.834073,79.4598
48.0,3.861959,-0.834253,79.4482
49.0,3.913601,-0.110913,79.4379
50.0,3.915544,-0.110913,79.4364
51.0,3.916839,-0.110913,79.4348
52.0,3.917648,-0.111275,79.4333
53.0,3.918296,-0.111094,79.4318
54.0,3.919105,-0.111094,79.4302
55.0,3.919753,-0.111094,79.4287
56.0,3.9204,-0.111094,79.4271
57.0,3.920724,-0.111094,79.4256
58.0,3.92121,-0.110913,79.424
59.0,3.86973,-0.834253,79.421
60.0,3.868273,-0.834434,79.4094
61.0,3.867302,-0.834253,79.3978
62.0,3.866816,-0.834073,79.3862
63.0,3.86633,-0.834253,79.3745
64.0,3.865845,-0.834434,79.3629
65.0,3.865359,-0.834253,79.3513
66.0,3.864873,-0.834253,79.3397
67.0,3.864712,-0.833892,79.3281
68.0,3.864388,-0.834073,79.3164
69.0,3.915867,-0.111094,79.3067
70.0,3.917648,-0.110913,79.3051
71.0,3.918619,-0.111275,79.3036
72.0,3.919429,-0.111094,79.302
73.0,3.920076,-0.110733,79.3005
74.0,3.920724,-0.110913,79.2989
75.0,3.920886,-0.110913,79.2974
76.0,3.921533,-0.110913,79.2959
77.0,3.922019,-0.110913,79.2943
78.0,3.922181,-0.110913,79.2928
79.0,3.85856,-1.000233,79.2886
80.0,3.856455,-1.000233,79.2747
81.0,3.855322,-0.999872,79.2608
82.0,3.854351,-1.000233,79.2468
83.0,3.853541,-1.000053,79.2329
84.0,3.920886,-0.056189,79.2219
85.0,3.922667,-0.056189,79.2211
86.0,3.9238,-0.056369,79.2203
87.0,3.924609,-0.056008,79.2195
88.0,3.925095,-0.056189,79.2187
89.0,3.925581,-0.056189,79.218
90.0,3.926066,-0.056369,79.2172
91.0,3.92639,-0.056189,79.2164
92.0,3.927037,-0.056189,79.2156
93.0,3.927199,-0.056189,79.2148
94.0,3.927523,-0.056369,79.2141
95.0,3.927847,-0.056189,79.2133
96.0,3.928171,-0.056189,79.2125
97.0,3.928333,-0.056369,79.2117
98.0,3.928656,-0.056189,79.2109
99.0,3.92898,-0.056189,79.2101
100.0,3.92898,-0.056189,79.2094
101.0,3.929466,-0.056189,79.2086
102.0,3.929466,-0.056189,79.2078
103.0,3.92979,-0.056008,79.207
104.0,3.929951,-0.056189,79.2062
105.0,3.930113,-0.056369,79.2054
106.0,3.930113,-0.056189,79.2047
107.0,3.930275,-0.056369,79.2039
108.0,3.930599,-0.056189,79.2031
