time_s,voltage_V,current_A,soc_percent
0.0,3.953749,-1.9e-05,80.0
1.0,3.953911,-1.9e-05,80.0
2.0,3.953911,-1.9e-05,80.0
3.0,3.953911,-1.9e-05,80.0
4.0,3.954072,-1.9e-05,80.0
5.0,3.953911,-1.9e-05,80.0
6.0,3.953911,-1.9e-05,80.0
7.0,3.953911,-1.9e-05,80.0
8.0,3.954072,-1.9e-05,80.0
9.0,3.953911,-1.9e-05,80.0
10.0,3.953911,-1.9e-05,80.0
11.0,3.954234,-1.9e-05,80.0
12.0,3.954072,-1.9e-05,80.0
13.0,3.953749,-1.9e-05,80.0
14.0,3.953911,-1.9e-05,80.0
15.0,3.953749,-0.0002,80.0
16.0,3.953911,-1.9e-05,80.0
17.0,3.954072,-1.9e-05,80.0
18.0,3.953911,-1.9e-05,80.0
19.0,3.954072,-1.9e-05,80.0
20.0,3.885757,-0.962125,79.9973
21.0,3.884462,-0.946592,79.9838
22.0,3.841238,-1.534476,79.9685
23.0,3.814203,-1.873118,79.9461
24.0,3.793967,-2.116038,79.9188
25.0,3.774865,-2.339271,79.8881
26.0,3.893042,-0.637931,79.8619
27.0,3.873939,-0.931782,79.8518
28.0,3.741031,-2.784292,79.831
29.0,3.840914,-1.316119,79.7983
30.0,3.859207,-1.062905,79.7809
31.0,3.902107,-0.460392,79.7687
32.0,3.942417,0.08577,79.7647
33.0,3.950835,0.176797,79.7663
34.0,3.952292,0.176978,79.7688
35.0,3.949863,0.126949,79.771
36.0,3.953749,0.166864,79.773
37.0,4.024655,1.149198,79.7804
38.0,3.99681,0.719167,79.7944
39.0,3.933513,-0.182073,79.7995
40.0,3.912792,-0.460392,79.7953
41.0,3.911011,-0.471048,79.7888
42.0,3.900326,-0.60795,79.7813
43.0,3.856779,-1.205044,79.769
44.0,3.796558,-2.015258,79.7471
45.0,3.777455,-2.233072,79.7173
46.0,3.787168,-2.055533,79.6869
47.0,3.894175,-0.541486,79.6686
48.0,3.930437,-0.055466,79.6643
49.0,3.922181,-0.192549,79.6625
50.0,3.978194,0.577569,79.6655
51.0,4.016398,1.073161,79.6774
52.0,3.994706,0.733977,79.6897
53.0,3.973013,0.415382,79.6975
54.0,3.92979,-0.197245,79.6985
55.0,3.815336,-1.777215,79.6831
56.0,3.78215,-2.182321,79.6547
57.0,3.785549,-2.086056,79.6247
58.0,3.78134,-2.106285,79.5956
59.0,3.821002,-1.529238,79.5712
60.0,3.868273,-0.860803,79.5554
61.0,3.877501,-0.738892,79.5445
62.0,3.892718,-0.531372,79.5359
63.0,3.937236,0.075837,79.5339
64.0,3.917324,-0.22271,79.5323
65.0,3.890613,-0.597836,79.5258
66.0,3.895146,-0.526856,79.518
67.0,3.917001,-0.227948,79.5134
68.0,3.91781,-0.222891,79.5103
69.0,3.907449,-0.374603,79.5057
70.0,3.860826,-1.017391,79.4942
71.0,3.858236,-1.037439,79.4796
72.0,3.892394,-0.5516,79.47
73.0,3.934322,0.025266,79.4683
74.0,3.943226,0.131103,79.4697
75.0,3.896117,-0.531552,79.4646
76.0,3.869244,-0.896383,79.4533
77.0,3.846256,-1.199626,79.4376
78.0,3.902269,-0.410544,79.4292
79.0,3.93416,0.020209,79.4282
80.0,3.86633,-0.926364,79.4183
81.0,3.847713,-1.169464,79.4023
82.0,3.827964,-1.422678,79.3832
83.0,3.793967,-1.868422,79.3583
84.0,3.826345,-1.392517,79.3374
85.0,3.840267,-1.189512,79.3204
86.0,3.860664,-0.901079,79.3071
87.0,3.859855,-0.911012,79.2942
88.0,3.858398,-0.926725,79.2812
89.0,3.888833,-0.511324,79.2734
90.0,3.914572,-0.161845,79.2706
91.0,3.903402,-0.32927,79.2661
92.0,3.90405,-0.329089,79.2615
93.0,3.879281,-0.673331,79.2523
94.0,3.848847,-1.083856,79.2376
95.0,3.932542,0.075837,79.2379
96.0,3.938855,0.14212,79.2399
97.0,3.935294,0.075837,79.241
98.0,3.865683,-0.88645,79.2289
99.0,3.840429,-1.214978,79.2121
100.0,3.870054,-0.774652,79.1968
101.0,3.876205,-0.693559,79.1859
102.0,3.900488,-0.343899,79.1763
103.0,3.935617,0.14194,79.1717
104.0,3.942902,0.212558,79.1738
105.0,3.883652,-0.657798,79.1762
106.0,3.864712,-0.901079,79.167
107.0,3.839781,-1.235387,79.1537
108.0,3.836058,-1.260853,79.1365
109.0,3.825859,-1.387098,79.1188
110.0,3.840752,-1.154113,79.0996
111.0,3.862607,-0.835337,79.0838
112.0,3.907935,-0.192368,79.0731
113.0,3.933513,0.14194,79.071
114.0,4.076944,2.142187,79.0765
115.0,4.070792,1.959591,79.1063
116.0,4.066421,1.838583,79.1336
117.0,4.049585,1.559542,79.1585
118.0,4.029511,1.245462,79.1797
119.0,4.007657,0.916934,79.1963
120.0,3.942902,-0.0002,79.2066
121.0,3.941769,-1.9e-05,79.2066
122.0,3.941122,-1.9e-05,79.2066
123.0,3.940798,-1.9e-05,79.2066
124.0,3.940636,-1.9e-05,79.2066
125.0,3.940474,-1.9e-05,79.2066
126.0,3.940474,-1.9e-05,79.2066
127.0,3.940636,-1.9e-05,79.2066
128.0,3.940312,-1.9e-05,79.2066
129.0,3.940474,-1.9e-05,79.2066
130.0,3.940474,-1.9e-05,79.2066
131.0,3.940636,-1.9e-05,79.2066
132.0,3.940312,-1.9e-05,79.2066
133.0,3.940474,-1.9e-05,79.2066
134.0,3.940636,-1.9e-05,79.2066
135.0,3.940798,-1.9e-05,79.2066
136.0,3.940798,-1.9e-05,79.2066
137.0,3.940636,-1.9e-05,79.2066
138.0,3.940798,-0.0002,79.2066
139.0,3.940798,-0.00038,79.2066
140.0,3.94096,-1.9e-05,79.2066
141.0,3.94096,-1.9e-05,79.2066
142.0,3.94096,-1.9e-05,79.2066
143.0,3.941122,-1.9e-05,79.2066
144.0,3.94096,-0.0002,79.2066
145.0,3.941283,-1.9e-05,79.2066
146.0,3.941122,-1.9e-05,79.2066
147.0,3.941122,-1.9e-05,79.2066
148.0,3.941445,-1.9e-05,79.2066
149.0,3.941445,-1.9e-05,79.2066
