time_s,voltage_V,current_A,soc_percent
0.0,3.650537,-1.9e-05,50.0
1.0,3.651346,-1.9e-05,50.0
2.0,3.652156,-1.9e-05,50.0
3.0,3.652641,-0.0002,50.0
4.0,3.653289,-1.9e-05,50.0
5.0,3.653613,-0.001284,50.0
6.0,3.654098,-0.001464,50.0
7.0,3.654098,-0.010675,49.9999
8.0,3.653613,-0.021331,49.9997
9.0,3.626254,-0.40946,49.9993
10.0,3.533493,-1.705151,49.9926
11.0,3.501278,-2.118205,49.9685
12.0,3.498688,-2.120192,49.9389
13.0,3.652156,0.052177,49.9111
14.0,3.538836,-1.576558,49.9107
15.0,3.503059,-2.045961,49.8882
16.0,3.550006,-1.362716,49.8603
17.0,3.560205,-1.222383,49.8415
18.0,3.555024,-1.29264,49.8243
19.0,3.567813,-1.107696,49.8065
20.0,3.526047,-1.6898,49.7902
21.0,3.553082,-1.2986,49.7674
22.0,3.609094,-0.512047,49.7506
23.0,3.653936,0.09173,49.7446
24.0,3.655555,0.091008,49.7458
25.0,3.677248,0.380525,49.7477
26.0,3.661869,0.144649,49.7525
27.0,3.658307,0.086493,49.7544
28.0,3.638881,-0.192007,49.7551
29.0,3.604399,-0.672066,49.7514
30.0,3.652803,0.011901,49.7435
31.0,3.639043,-0.195258,49.7432
32.0,3.678219,0.348737,49.7416
33.0,3.697969,0.608092,49.7471
34.0,3.697969,0.589309,49.7555
35.0,3.695703,0.542531,49.7636
36.0,3.68599,0.39696,49.7708
37.0,3.680162,0.309364,49.7761
38.0,3.669477,0.153318,49.78
39.0,3.660412,0.025447,49.7818
40.0,3.658631,-1.9e-05,49.7821
41.0,3.658631,-1.9e-05,49.7821
42.0,3.658631,-0.0002,49.7821
43.0,3.658955,-1.9e-05,49.7821
44.0,3.659279,-1.9e-05,49.7821
45.0,3.659279,-1.9e-05,49.7821
46.0,3.659441,-0.0002,49.7821
47.0,3.659602,-1.9e-05,49.7821
48.0,3.658793,-0.012662,49.7821
49.0,3.573641,-1.197098,49.7784
50.0,3.562147,-1.333999,49.7612
51.0,3.586592,-0.973323,49.7439
52.0,3.553405,-1.425388,49.7289
53.0,3.499012,-2.164441,49.7066
54.0,3.499336,-2.128861,49.6766
55.0,3.551948,-1.379694,49.6497
56.0,3.500307,-2.09003,49.6281
57.0,3.473919,-2.42813,49.5979
58.0,3.47651,-2.367265,49.5643
59.0,3.510668,-1.874021,49.5332
60.0,3.5581,-1.215158,49.5093
61.0,3.521676,-1.721948,49.4906
62.0,3.527018,-1.636701,49.4669
63.0,3.515848,-1.785523,49.4435
64.0,3.534626,-1.513525,49.4196
65.0,3.54353,-1.387821,49.399
66.0,3.566032,-1.0732,49.3809
67.0,3.634186,-0.134393,49.3697
68.0,3.611198,-0.47466,49.3665
69.0,3.642766,-0.047339,49.3615
70.0,3.651994,0.066445,49.3613
71.0,3.653127,0.066806,49.3622
72.0,3.634672,-0.19887,49.3621
73.0,3.611198,-0.529385,49.358
74.0,3.634996,-0.19887,49.352
75.0,3.654746,0.067709,49.3504
76.0,3.664783,0.194858,49.3519
77.0,3.644385,-0.098271,49.3534
78.0,3.633377,-0.254498,49.3513
79.0,3.633701,-0.252872,49.3478
80.0,3.622207,-0.411086,49.3435
81.0,3.622207,-0.41235,49.3378
82.0,3.598733,-0.735641,49.3308
83.0,3.573641,-1.076631,49.319
84.0,3.534303,-1.613944,49.3016
85.0,3.502897,-2.026636,49.2772
86.0,3.488489,-2.202008,49.2482
87.0,3.493993,-2.101408,49.218
88.0,3.494155,-2.081361,49.1888
89.0,3.473272,-2.356428,49.1585
90.0,3.457731,-2.549139,49.1249
91.0,3.480233,-2.218804,49.0909
92.0,3.474567,-2.289061,49.0596
93.0,3.516657,-1.69576,49.0306
94.0,3.577688,-0.85105,49.011
95.0,3.58643,-0.7472,48.9996
96.0,3.626092,-0.208081,48.9918
97.0,3.678867,0.502075,48.9925
98.0,3.671096,0.366798,48.9988
99.0,3.669963,0.332121,49.0038
100.0,3.661869,0.206417,49.0078
101.0,3.662516,0.206056,49.0106
102.0,3.669639,0.29329,49.0139
103.0,3.674496,0.346751,49.0183
104.0,3.672877,0.31406,49.023
105.0,3.675305,0.335553,49.0274
106.0,3.671582,0.277035,49.0318
