time_s,voltage_V,current_A,soc_percent
0.0,3.672573,-0.111203,50.0
1.0,3.672249,-0.111203,49.9985
2.0,3.672249,-0.111203,49.9969
3.0,3.672087,-0.111203,49.9953
4.0,3.617796,-0.833719,49.9937
5.0,3.616176,-0.833899,49.9821
6.0,3.615203,-0.833719,49.9703
7.0,3.614231,-0.833899,49.9587
8.0,3.613745,-0.833899,49.947
9.0,3.625575,-0.667206,49.9353
10.0,3.625413,-0.667386,49.9261
11.0,3.624927,-0.667206,49.9167
12.0,3.624441,-0.667386,49.9074
13.0,3.624279,-0.667386,49.898
14.0,3.598673,-1.000053,49.888
15.0,3.597863,-0.999873,49.8741
16.0,3.597377,-0.999873,49.8603
17.0,3.596729,-1.000053,49.8461
18.0,3.59608,-0.999873,49.832
19.0,3.595594,-0.999873,49.8179
20.0,3.595108,-0.999873,49.8041
21.0,3.594784,-0.999873,49.79
22.0,3.59446,-0.999693,49.7761
23.0,3.593812,-1.000053,49.7622
24.0,3.593487,-0.999873,49.7481
25.0,3.593163,-1.000053,49.7342
26.0,3.592839,-0.999693,49.7203
27.0,3.592353,-1.000053,49.706
28.0,3.592029,-1.000053,49.6919
29.0,3.591867,-0.999873,49.678
30.0,3.591705,-0.999873,49.6639
31.0,3.591218,-0.999873,49.6498
32.0,3.591056,-0.999693,49.6359
33.0,3.590894,-0.999873,49.6218
34.0,3.603211,-0.833899,49.6084
35.0,3.602887,-0.834079,49.5966
36.0,3.603211,-0.833899,49.585
37.0,3.602887,-0.833899,49.5733
38.0,3.602887,-0.833899,49.5617
39.0,3.602725,-0.833899,49.5499
40.0,3.602563,-0.833899,49.5383
41.0,3.602401,-0.834079,49.5266
42.0,3.602239,-0.833899,49.5148
43.0,3.602077,-0.834079,49.5031
44.0,3.602077,-0.833899,49.4913
45.0,3.602239,-0.83354,49.4795
46.0,3.601914,-0.834079,49.468
47.0,3.601753,-0.833899,49.4564
48.0,3.601266,-0.834259,49.4446
49.0,3.656529,-0.111203,49.4374
50.0,3.657501,-0.111203,49.4358
51.0,3.657825,-0.111203,49.4343
52.0,3.658149,-0.111383,49.4327
53.0,3.658312,-0.111383,49.4312
54.0,3.658636,-0.111563,49.4296
55.0,3.65896,-0.111383,49.428
56.0,3.659284,-0.111023,49.4265
57.0,3.659446,-0.111203,49.4249
58.0,3.659446,-0.111203,49.4234
59.0,3.604507,-0.833899,49.4164
60.0,3.603697,-0.833899,49.4046
61.0,3.603211,-0.833899,49.3929
62.0,3.602887,-0.833719,49.3811
63.0,3.602401,-0.833899,49.3695
64.0,3.602077,-0.833899,49.3578
65.0,3.601914,-0.834079,49.346
66.0,3.60159,-0.834079,49.3344
67.0,3.601428,-0.833899,49.3227
68.0,3.601104,-0.834079,49.3109
69.0,3.656529,-0.111203,49.3057
70.0,3.656853,-0.111383,49.3041
71.0,3.657501,-0.111203,49.3025
72.0,3.657663,-0.111383,49.301
73.0,3.657987,-0.111203,49.2994
74.0,3.657987,-0.111383,49.2979
75.0,3.658149,-0.111383,49.2963
76.0,3.658636,-0.111203,49.2948
77.0,3.658473,-0.111203,49.2932
78.0,3.658798,-0.111383,49.2916
79.0,3.590732,-0.999873,49.2809
80.0,3.589922,-0.999693,49.267
81.0,3.589112,-0.999873,49.2529
82.0,3.588464,-1.000053,49.2388
83.0,3.588139,-0.999873,49.2249
84.0,3.660256,-0.056358,49.221
85.0,3.660743,-0.056538,49.2202
86.0,3.661391,-0.056538,49.2194
87.0,3.661715,-0.056358,49.2186
88.0,3.661715,-0.056538,49.2178
89.0,3.662039,-0.056538,49.217
90.0,3.662363,-0.056358,49.2162
91.0,3.662363,-0.056538,49.2154
