time_s,voltage_V,current_A,soc_percent
0.0,3.959744,-0.000254,80.0
1.0,3.959906,-7.5e-05,80.0
2.0,3.959744,-0.000254,80.0
3.0,3.959744,-7.5e-05,80.0
4.0,3.959906,-0.000254,80.0
5.0,3.959906,-7.5e-05,80.0
6.0,3.959744,-7.5e-05,80.0
7.0,3.959744,-7.5e-05,80.0
8.0,3.959744,-0.000254,80.0
9.0,3.959744,-7.5e-05,80.0
10.0,3.959744,-7.5e-05,80.0
11.0,3.959582,-0.000254,80.0
12.0,3.959744,-0.000254,80.0
13.0,3.959744,-0.000254,80.0
14.0,3.959744,-7.5e-05,80.0
15.0,3.959744,-7.5e-05,80.0
16.0,3.959744,-7.5e-05,80.0
17.0,3.959744,-0.000254,80.0
18.0,3.959744,-7.5e-05,80.0
19.0,3.959744,-0.000254,80.0
20.0,3.886655,-0.96247,79.9971
21.0,3.885682,-0.946826,79.9836
22.0,3.839819,-1.533758,79.9682
23.0,3.811621,-1.872898,79.9452
24.0,3.790877,-2.116374,79.9183
25.0,3.771106,-2.338991,79.8876
26.0,3.899133,-0.637536,79.8619
27.0,3.878228,-0.931541,79.8518
28.0,3.735614,-2.784405,79.8308
29.0,3.844519,-1.316356,79.798
30.0,3.864128,-1.063349,79.7807
31.0,3.910478,-0.460413,79.7687
32.0,3.953262,0.086239,79.765
33.0,3.961851,0.177408,79.7667
34.0,3.962985,0.177048,79.7692
35.0,3.959906,0.126159,79.7714
36.0,3.963634,0.166978,79.7734
37.0,4.039802,1.149334,79.7814
38.0,4.008848,0.718306,79.795
39.0,3.940621,-0.182232,79.7994
40.0,3.918743,-0.460413,79.7951
41.0,3.917122,-0.471382,79.7885
42.0,3.906264,-0.607506,79.7811
43.0,3.859753,-1.205227,79.7685
44.0,3.795577,-2.014596,79.746
45.0,3.776454,-2.233078,79.7166
46.0,3.787474,-2.055775,79.6864
47.0,3.902861,-0.541332,79.6688
48.0,3.941431,-0.055819,79.6647
49.0,3.932194,-0.192302,79.6629
50.0,3.992156,0.577327,79.666
51.0,4.032023,1.07327,79.6779
52.0,4.008038,0.73395,79.6904
53.0,3.984539,0.41441,79.6983
54.0,3.937866,-0.197517,79.6991
55.0,3.815186,-1.777234,79.6833
56.0,3.781153,-2.182009,79.6554
57.0,3.786015,-2.085805,79.6254
58.0,3.782126,-2.105945,79.5958
59.0,3.825234,-1.529083,79.5712
60.0,3.876607,-0.860512,79.5555
61.0,3.886169,-0.739494,79.5444
62.0,3.902537,-0.531442,79.536
63.0,3.949858,0.076169,79.5343
64.0,3.92798,-0.223051,79.5326
65.0,3.899296,-0.597436,79.5258
66.0,3.904481,-0.526587,79.5181
67.0,3.927818,-0.227547,79.5137
68.0,3.928628,-0.223051,79.5106
69.0,3.917122,-0.374819,79.5059
70.0,3.867532,-1.017495,79.494
71.0,3.864939,-1.037635,79.4797
72.0,3.901726,-0.552121,79.4702
73.0,3.946779,0.02528,79.4685
74.0,3.955855,0.131554,79.47
75.0,3.905292,-0.531262,79.4646
76.0,3.876607,-0.895937,79.453
77.0,3.852298,-1.199833,79.4369
78.0,3.912585,-0.410244,79.4294
79.0,3.946293,0.019885,79.4287
80.0,3.87369,-0.926866,79.4179
81.0,3.853919,-1.169623,79.4019
82.0,3.833175,-1.422809,79.3824
83.0,3.797197,-1.868223,79.3567
